,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Venezuela,-1.5,-2.2,-2.3,-3.8,-4.1,-4.2,-3.6,-5.1,-5.9,-6.8,-7.9,-7.6,-7.3,-6.7,-6.7,-7.1,-6.7,-6.4,-4.7,-3.0,-2.5,-1.8,-0.9,-0.7,-0.9,-0.6,-0.2,-0.1
Asia,150.3,153.4,145.9,160.4,163.9,161.2,156.8,170.1,158.1,167.8,178.4,146.7,174.2,161.4,193.8,188.0,159.0,199.8,232.4,320.0,409.1,380.1,450.1,495.0,534.8,493.4,565.6,576.9
China,-16.6,-19.7,-23.1,-21.0,-27.0,-35.8,-41.0,-43.8,-42.2,-45.7,-67.8,-101.0,-85.8,-96.8,-81.9,-57.9,-39.3,-16.1,-13.7,110.6,162.0,204.5,278.6,315.1,277.4,189.2,237.0,253.9
India,6.1,5.8,6.6,7.4,10.5,13.0,13.9,18.2,15.9,21.0,22.1,20.9,24.0,21.8,30.3,39.1,46.1,52.3,64.1,95.9,120.7,135.5,163.6,190.6,239.5,216.9,206.4,223.5
Indonesia,-3.9,-7.2,-15.4,-16.8,-20.2,-31.3,-36.4,-41.7,-47.6,-55.8,-56.7,-66.3,-73.0,-87.9,-105.0,-128.5,-183.1,-194.8,-199.8,-233.4,-264.9,-353.4,-388.1,-425.7,-406.7,-363.7,-328.0,-360.8
Japan,106.2,110.3,108.3,109.5,118.4,124.4,128.0,134.8,127.3,137.3,150.7,154.4,161.8,168.2,184.6,178.7,179.4,188.4,186.0,164.0,187.0,175.3,183.3,196.6,190.9,191.5,190.4,194.2
Malaysia,2.2,2.1,2.3,1.7,2.1,2.4,3.1,2.3,2.4,2.1,3.1,4.2,5.4,5.4,8.5,10.4,10.7,12.9,15.1,14.3,20.6,21.7,22.2,21.5,21.6,25.2,30.3,29.9
South Korea,23.7,29.1,30.8,37.4,41.0,45.8,46.1,52.0,53.6,54.6,64.9,66.4,72.0,73.8,79.7,77.1,80.0,88.8,100.3,103.2,119.2,129.6,124.6,126.9,131.4,134.3,133.6,141.0
Taiwan,18.7,18.7,22.4,25.7,27.0,29.0,31.4,36.4,37.3,41.3,45.7,49.4,52.2,55.0,60.8,60.4,62.6,65.8,64.2,58.7,64.4,66.6,64.8,66.1,65.9,64.9,65.8,67.9
Thailand,0.3,0.5,0.5,1.1,1.5,2.4,4.0,3.3,1.6,3.1,4.2,4.9,5.6,7.1,7.5,8.6,11.2,14.0,15.9,16.8,17.0,16.6,18.6,18.8,21.3,24.0,23.8,23.1
Pacific,-104.3,-121.7,-127.8,-133.2,-132.9,-138.5,-142.9,-159.2,-168.1,-173.4,-188.5,-193.9,-206.3,-210.7,-220.6,-233.6,-233.9,-245.6,-254.1,-263.1,-295.1,-286.8,-304.4,-338.8,-377.0,-394.0,-391.0,-371.5
