,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
Australia,18,17,17,18,19,20,20,20,21,22,23,24,26,26,27,27,29,32,33,34,35,35,37,38,39,40,42,43,2.3,3.9
New Zealand,5,5,6,5,5,5,6,6,5,6,6,6,6,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,0.6,-1.1
Africa,35,38,40,43,43,45,46,48,50,55,57,64,69,76,79,89,95,102,103,101,106,116,122,122,123,129,131,142,7.7,5.5
Algeria,14,15,16,17,16,17,17,18,18,20,20,20,21,23,23,24,25,26,26,28,27,30,34,35,38,41,41,41,0.3,4.4
Egypt,8,9,10,12,12,13,13,13,14,17,18,23,26,29,28,37,39,43,45,44,44,48,48,46,44,45,48,55,14.8,6.9
Nigeria,4,5,5,6,5,5,5,6,6,7,8,7,8,11,11,11,12,12,11,10,11,15,15,15,16,17,15,16,7.0,4.4
South Africa,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,3,3,4,4,4,5,5,5,5,5,5,5,5,2.8,6.9
Middle-East,86,91,100,112,126,133,137,148,157,168,174,187,202,215,236,256,279,303,334,345,376,396,411,425,451,477,491,515,4.8,6.6
Iran,21,26,27,31,38,42,42,47,51,59,62,66,74,82,93,99,109,123,130,136,144,153,152,153,172,184,188,200,6.5,7.1
Kuwait,6,1,5,9,9,9,9,9,9,9,10,10,9,10,11,12,12,12,13,12,15,17,18,18,18,21,22,22,1.2,5.0
Saudi Arabia,24,24,27,28,30,30,31,33,34,34,38,39,46,47,51,56,59,61,67,64,73,75,81,82,85,87,92,98,5.8,5.8
United Arab Emirates,17,20,19,20,23,25,27,29,30,31,30,36,36,37,40,42,43,48,58,58,61,63,66,67,66,71,72,71,-0.4,5.2
