,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (points) ,2000 - 2017 (points) 
Indonesia,3.44,2.81,2.61,2.40,3.77,3.73,3.47,3.49,3.35,3.18,5.22,5.96,5.76,5.57,5.54,5.18,5.00,4.94,5.56,5.93,5.52,5.11,4.71,4.36,4.41,4.30,4.30,4.74,0.4,-0.5
Japan,0.20,0.19,0.20,0.19,0.21,0.32,0.36,0.37,0.35,0.34,0.35,0.38,0.40,0.48,0.52,0.57,0.62,0.66,0.72,0.86,0.91,1.14,1.34,1.98,3.03,4.19,5.00,5.88,0.9,5.5
Malaysia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.15,0.18,0.20,0.23,0.0,-
South Korea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.04,0.07,0.11,0.17,0.29,0.36,0.40,0.45,0.70,0.93,1.28,1.55,1.88,0.3,1.9
Taiwan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.04,0.12,0.18,0.25,0.35,0.40,0.56,0.61,0.78,0.79,0.93,1.05,1.35,0.3,1.3
Thailand,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.06,0.38,0.81,0.98,1.52,2.78,3.38,0.6,3.4
Pacific,1.16,1.22,1.19,1.23,1.13,1.06,1.04,1.06,1.12,1.21,1.27,1.23,1.28,1.41,1.47,1.79,2.17,2.64,3.08,3.65,4.46,5.33,6.08,6.94,8.45,9.33,9.98,10.47,0.5,9.2
Australia,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.11,0.18,0.35,0.34,0.42,0.78,1.12,1.32,1.61,2.17,3.00,3.79,4.72,6.09,6.91,7.71,8.34,0.6,8.3
New Zealand,6.81,7.07,7.07,7.15,6.59,6.18,6.13,6.30,6.96,7.67,7.92,7.65,7.55,7.32,7.56,8.97,9.33,10.39,12.14,14.73,16.88,18.28,18.79,19.67,22.00,23.31,23.57,23.13,-0.4,15.2
Africa,0.10,0.09,0.08,0.08,0.07,0.11,0.10,0.09,0.10,0.10,0.15,0.20,0.17,0.27,0.34,0.32,0.32,0.36,0.40,0.48,0.60,0.60,0.60,0.80,1.40,1.85,2.21,2.41,0.2,2.3
Algeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.29,0.54,0.2,-
Egypt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.27,0.23,0.39,0.52,0.51,0.53,0.66,0.70,0.82,1.16,1.11,0.91,0.94,0.97,0.88,1.18,1.48,0.3,1.3
Nigeria,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-
South Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.03,0.77,1.78,2.26,2.47,0.2,-
Middle-East,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.05,0.06,0.03,0.05,0.06,0.10,0.14,0.16,0.27,0.35,0.1,0.3
Iran,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.02,0.02,0.03,0.04,0.06,0.07,0.09,0.10,0.07,0.09,0.08,0.14,0.13,0.08,0.08,0.15,0.1,0.1
Kuwait,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-
Saudi Arabia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,-
United Arab Emirates,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.26,0.23,0.22,0.57,0.3,-
