,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mexico,-1.4,-1.4,-1.1,-1.1,-0.8,-0.8,0.1,1.5,1.4,0.5,0.9,0.1,0.2,-0.9,-1.3,-1.7,-0.8,-1.2,-1.1,-0.9,-1.0,-0.7,1.1,0.0,-0.5,-0.7,0.2,0.2
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.4,0.4,-0.6,-0.5,-0.5,-0.5,-0.4,0.0,0.2,0.5,0.7,0.0,-1.0,-1.0,-1.0
Asia,0.3,0.0,0.1,0.8,5.0,1.3,4.3,0.6,0.4,0.7,0.9,0.7,0.7,0.5,1.6,0.7,3.3,3.3,2.0,4.4,11.7,16.9,17.9,23.0,18.6,19.8,32.8,38.2
China,1.8,2.9,5.0,4.4,-2.0,-5.4,-3.6,-7.1,-7.2,-8.8,-8.3,-8.4,-7.4,-7.4,-6.1,-6.2,-6.9,-10.3,-12.8,-11.4,-13.5,-12.7,-10.8,-11.2,-11.4,-12.4,-5.8,-8.2
India,1.4,1.5,1.2,1.4,1.4,1.5,1.5,1.1,1.1,1.4,1.3,1.3,1.3,1.7,1.7,1.6,2.7,4.9,5.8,5.3,5.5,5.1,4.6,3.9,0.6,0.1,-1.1,-1.2
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.5,-2.2,-2.3,-2.3,-0.5,-0.1,-0.2,0.4,0.1,0.2,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
