,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mexico,0.4,2.3,2.6,1.4,4.2,0.8,4.2,9.3,10.1,11.4,16.1,13.5,10.4,8.9,10.6,13.3,14.8,18.1,19.5,13.3,19.1,22.8,24.1,18.8,19.0,23.6,33.0,41.4
Venezuela,-30.0,-35.1,-30.0,-30.1,-32.8,-33.8,-36.0,-37.0,-37.8,-37.0,-37.1,-33.7,-32.8,-23.8,-34.6,-34.9,-32.7,-27.6,-30.3,-31.1,-24.6,-31.1,-23.2,-18.6,-20.7,-16.2,-13.3,-11.2
Asia,73.4,62.9,70.2,82.1,90.8,100.5,97.6,96.1,90.2,100.4,86.5,82.5,101.6,94.0,104.7,72.0,71.7,71.6,63.1,66.7,82.0,85.3,84.5,89.6,95.7,96.1,85.4,87.0
China,-3.1,-1.3,1.7,13.5,9.5,11.7,13.9,22.5,20.5,16.8,13.8,15.9,17.1,22.4,32.9,23.7,28.7,24.1,25.6,19.8,19.7,24.7,24.6,21.4,12.5,11.9,-1.3,-2.2
India,6.0,6.5,7.6,8.1,10.7,16.5,16.8,19.7,22.6,13.5,1.3,-2.4,-2.5,-7.0,-11.5,-10.7,-15.1,-17.9,-20.1,-36.4,-41.7,-47.1,-48.9,-53.2,-43.8,-33.4,-32.0,-35.0
Indonesia,-7.9,-7.4,-7.5,-4.4,-6.0,-2.9,-4.6,1.3,-1.7,1.8,3.9,3.5,6.7,6.4,12.4,15.0,10.8,14.0,14.9,14.0,19.3,22.0,24.9,25.3,23.4,20.4,19.7,22.3
Japan,53.9,46.6,43.6,37.6,40.3,43.0,47.3,38.6,39.6,46.5,46.6,42.0,45.8,45.1,44.5,40.0,36.7,28.8,21.6,22.5,26.1,34.2,37.8,29.0,29.1,25.2,21.6,24.9
Malaysia,2.0,3.3,3.8,4.2,2.3,0.1,-0.3,2.4,2.1,1.2,-1.9,-2.0,-0.9,-1.9,0.0,-0.5,-1.8,0.6,-1.5,-0.1,1.8,2.1,-1.3,7.0,7.4,3.7,1.2,2.7
South Korea,8.6,3.5,3.1,5.1,10.2,8.4,5.0,-9.1,-19.2,-18.0,-16.4,-15.4,-4.6,-2.7,-9.6,-15.0,-16.9,-15.2,-18.5,-12.6,-12.7,-21.4,-21.0,-16.2,-18.9,-24.6,-23.6,-28.6
Taiwan,6.0,5.4,5.7,5.3,8.4,6.8,4.5,4.4,5.4,5.0,5.5,4.4,2.5,-1.6,-4.4,-7.3,-3.8,-2.7,-2.6,-5.2,1.0,0.9,-3.3,-1.2,0.5,0.6,0.3,0.4
Thailand,7.5,7.9,7.9,8.7,8.3,8.9,4.4,-1.7,-2.8,-3.0,-3.4,-5.0,-4.5,-3.8,-3.8,-3.3,-5.3,-5.6,-8.9,-9.9,-9.3,-7.8,-9.2,-7.8,-5.3,-8.2,-5.6,-6.4
Pacific,2.1,0.5,0.4,0.9,1.9,2.7,2.4,2.2,1.3,3.2,3.2,3.4,2.6,4.2,9.0,9.5,11.6,11.6,14.5,16.1,16.2,15.3,18.3,20.5,21.7,24.3,28.7,31.4
Australia,1.0,-0.6,-0.9,-0.2,0.2,0.5,0.0,-0.4,-1.0,0.2,0.7,0.5,-0.4,0.6,5.3,6.6,8.5,7.9,11.2,12.9,13.4,12.7,15.7,17.6,18.5,20.9,25.2,27.6
New Zealand,0.0,0.1,0.3,0.1,0.5,0.9,1.1,1.0,0.7,1.2,1.0,1.1,1.1,1.4,2.0,1.8,1.9,2.3,2.0,2.0,1.7,1.6,1.5,1.8,2.0,1.9,2.3,2.5
Africa,-21.7,-22.3,-22.3,-22.4,-22.7,-23.1,-23.1,-28.7,-15.9,-18.9,-14.4,-21.8,-21.4,-10.4,-5.5,-6.6,3.6,8.2,17.0,26.8,31.2,41.5,51.3,54.8,58.5,69.0,66.2,65.7
Algeria,-17.2,-16.6,-17.2,-16.6,-16.3,-16.7,-16.3,-19.3,-18.5,-20.1,-21.2,-21.9,-20.2,-20.0,-16.7,-16.2,-16.1,-16.8,-17.1,-16.3,-19.1,-17.4,-13.4,-12.9,-20.8,-20.0,-19.8,-19.6
Egypt,-1.6,-3.0,-3.1,-4.2,-6.1,-5.2,-4.2,-3.4,-2.6,-1.3,-0.5,-4.2,-5.1,-5.5,-3.0,-2.8,-1.9,-2.0,0.8,4.3,4.3,6.1,7.2,10.5,13.3,13.6,13.2,10.9
Nigeria,-2.9,-2.9,-1.2,-1.2,0.4,-1.0,-1.7,-0.6,2.3,0.9,6.2,2.2,2.3,6.8,5.4,3.6,4.5,5.7,7.2,7.2,7.7,6.5,7.9,7.4,7.3,9.7,8.3,8.5
South Africa,0.0,0.0,0.0,-2.3,-2.8,-2.8,-2.3,-8.2,-2.4,-4.0,-5.4,-5.5,-7.6,-4.2,-2.0,-3.9,0.3,4.5,3.8,4.1,4.5,6.1,4.7,4.5,4.4,6.6,4.2,7.0
Middle-East,-84.2,-61.2,-79.5,-85.5,-106.0,-108.5,-117.8,-122.5,-121.4,-129.6,-124.1,-107.2,-108.5,-119.5,-116.8,-111.0,-97.5,-82.1,-81.6,-84.2,-97.4,-102.2,-95.1,-83.9,-95.0,-115.8,-142.1,-145.3
Iran,2.7,3.2,2.8,-0.6,-4.7,-6.5,-8.2,-10.1,-12.5,-20.7,-16.6,-14.0,-15.0,-13.3,-11.1,-9.5,-7.6,-5.7,-3.5,-5.5,-10.4,-16.6,-12.1,-12.2,-10.7,-16.7,-22.0,-20.5
Kuwait,-10.0,-1.2,-12.1,-18.9,-32.8,-36.3,-35.1,-39.4,-36.6,-38.2,-30.8,-25.9,-27.7,-32.3,-31.9,-31.2,-32.3,-33.4,-30.0,-27.4,-31.3,-32.3,-33.3,-31.2,-31.6,-31.3,-31.0,-25.5
Saudi Arabia,-61.0,-52.2,-54.7,-53.8,-55.7,-54.6,-61.9,-58.5,-56.6,-52.4,-54.3,-51.1,-44.8,-54.1,-58.3,-60.6,-54.2,-47.1,-46.5,-50.0,-50.3,-42.3,-43.3,-32.6,-43.0,-44.2,-51.5,-57.7
United Arab Emirates,2.1,4.8,4.1,4.5,5.8,4.7,3.1,1.7,1.7,-2.2,-7.3,-5.5,-6.8,-6.2,-4.5,-3.0,1.0,3.3,4.9,3.0,3.8,-1.7,-1.8,0.2,-1.1,-13.7,-25.5,-24.2
