,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Japan,50.5,53.1,54.6,56.1,59.3,61.2,65.0,67.7,69.3,73.0,75.8,76.2,77.0,82.0,81.2,80.9,88.6,95.6,95.4,92.9,98.8,116.5,121.6,120.6,122.4,114.7,116.5,116.9
Malaysia,-10.3,-9.8,-9.8,-11.7,-12.5,-14.5,-19.8,-21.0,-21.2,-19.3,-21.1,-21.1,-22.4,-22.4,-27.4,-27.9,-24.7,-23.3,-22.8,-23.4,-23.5,-24.9,-22.6,-23.7,-24.3,-24.1,-24.5,-26.2
South Korea,3.0,3.6,4.5,5.8,7.7,9.2,12.5,15.2,13.8,16.9,19.0,21.1,23.3,25.4,28.9,29.1,33.0,33.4,37.2,33.7,43.8,46.7,47.8,53.2,49.1,43.4,44.2,49.6
Taiwan,0.9,2.1,2.2,2.3,2.9,3.3,3.4,4.2,5.1,5.2,5.8,6.2,7.0,7.3,9.1,9.4,10.2,10.8,11.9,11.6,14.5,16.0,15.2,15.3,16.1,17.2,17.9,20.0
Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,6.5,7.5,8.1,8.8,9.5,9.8,10.2,10.1,9.6,10.5,11.2,11.5,12.1,11.3,15.3,16.3,17.7
Pacific,-2.8,-4.8,-5.7,-6.6,-7.7,-9.2,-9.8,-9.6,-9.9,-10.1,-10.3,-9.7,-9.8,-10.6,-10.7,-14.4,-15.1,-13.7,-13.1,-14.5,-18.7,-20.6,-19.8,-25.4,-29.3,-37.4,-53.3,-70.1
Australia,-2.8,-4.8,-5.7,-6.6,-7.7,-9.2,-9.8,-9.6,-9.9,-10.1,-10.3,-9.7,-9.8,-10.6,-10.7,-14.4,-15.1,-13.7,-13.1,-14.5,-18.7,-20.6,-19.8,-25.4,-24.7,-27.7,-42.9,-57.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Africa,-31.6,-35.1,-36.7,-36.1,-31.9,-37.3,-41.2,-49.5,-53.4,-61.5,-67.6,-65.6,-65.9,-71.7,-76.9,-98.1,-102.8,-109.2,-113.3,-100.4,-103.0,-88.1,-90.8,-77.5,-75.6,-67.2,-74.0,-79.9
Algeria,-31.4,-34.2,-36.0,-35.6,-32.1,-37.9,-41.5,-49.2,-53.3,-60.9,-62.3,-57.2,-58.5,-61.0,-60.4,-64.8,-62.1,-60.3,-60.3,-55.2,-57.2,-52.7,-52.3,-47.4,-44.6,-43.5,-54.3,-54.0
