"Year","Agriculture, hunting, forestry, fishing (ISIC A-B)","Mining, Manufacturing, Utilities (ISIC C-E)","Manufacturing (ISIC D)","Construction (ISIC F)","Wholesale, retail trade, restaurants and hotels (ISIC G-H)","Transport, storage and communication (ISIC I)","Other Activities (ISIC J-P)","Total Value Added"
"Value Added by Economic Activity, Percentage Distribution (Shares)"
"1991","1.1686806935257708","30.943455311568158","27.417928260514056","5.9555812262309455","13.28026290416526","6.436926667200184","42.215093197309685","..."
"1992","1.0621800168904993","29.297291612977773","25.895952706601904","6.6229971743142375","13.009080823051573","6.316454664848223","43.6919957079177","..."
"1993","1.0100990995421422","27.018716560682233","23.625575474660202","6.8004050231955215","13.101859230607246","6.348522275519172","45.72039781045368","..."
"1994","1.0277104182918173","26.48299968954455","23.173169387035067","7.055932210569889","13.30698671293038","6.207528743575297","45.918842225027554","..."
"1995","1.0445741130418056","26.0983137464791","22.76538139013492","6.8082406001405165","11.800462227677059","7.8558946813598585","46.39251463130166","..."
"1996","1.0946328694450345","25.502672887468492","22.20549142826717","6.359050344867466","11.670358573994355","7.835679684051362","47.5376056401733","..."
"1997","1.0832238121007798","25.536485976240336","22.36770899508247","5.986077638509346","11.653171185888063","8.224008174597573","47.517033212663904","..."
"1998","1.0275685250639601","25.77360043592823","22.611098570826584","5.598146977114315","11.970154001374029","8.58772044408275","47.04280961643673","..."
"1999","1.0123321931841311","25.377422682793092","22.33790198583594","5.4313099041533555","11.582315496416022","8.601708773778395","47.99491094967501","..."
"2000","1.0566524742606602","25.79559268964513","22.978708248373565","5.111046978452649","11.805920375521739","8.766591051818082","47.46419643030173","..."
"2001","1.1500916276212862","25.41415177189037","22.690755509079004","4.700319300685812","12.06910905463646","9.14235531211769","47.523972933048384","..."
"2002","0.946233481322535","24.90026742142494","22.086237404570984","4.463645898804209","12.063738775706284","9.281685235374889","48.34442918736714","..."
"2003","0.8670047439882219","24.99845391468801","22.212956793399112","4.251884229131838","12.156170576101312","8.905800513100829","48.8206860229898","..."
"2004","1.0020285513499538","25.389016274094512","22.37889684519927","4.026241892355559","11.894435626299435","9.06977264089781","48.618505015002725","..."
"2005","0.7587582837596526","25.54135612073661","22.44864045001023","3.856228801307919","11.952340105067707","9.13185142208343","48.75946526704469","..."
"2006","0.7801948477855601","26.298076834250043","23.134987427089126","3.826054101392535","11.782461851700623","9.316702479293035","47.99650988557819","..."
"2007","0.8254767042841477","26.672400679237274","23.442751264725654","3.859182085116921","11.700392684048538","9.412654331906465","47.529893515406656","..."
"2008","0.8944900885812037","26.103880607376777","22.50765295606954","3.959317297741754","11.808353925624763","9.411129166277963","47.82282891439753","..."
"2009","0.7361242748849692","23.67155120702997","19.92732086645923","4.136168493083658","12.166166191562661","9.482175897819717","49.80781393561903","..."
"2010","0.7193020616403102","25.862096442469834","22.18960716200879","4.30043567307506","11.312726262493566","9.096586760965588","48.70885279935565","..."
"2011","0.8223376679002898","26.18054279969589","22.89893487770986","4.386308841808213","11.394320940266333","9.161855591130104","48.05463415919917","..."
"2012","0.7822170293182107","26.229002225453442","22.725728597964327","4.476808644894125","11.025233640335093","9.282109710497394","48.20462874950173","..."
"2013","0.9769312089405725","25.662063605930175","22.43500497117974","4.445626934984519","10.830249943366306","9.437257733645447","48.64787057313298","..."
"2014","0.9715477201936513","25.790406254704912","22.75119405458038","4.538428773216257","11.19646046890616","9.347406520260531","48.155750262718485","..."
"2015","0.725695967630481","25.894594128430064","22.997608240866445","4.586277450623246","11.360400068117183","9.39630599201483","48.036726393184196","..."
"2016","0.7385531108226059","26.233333532114294","23.37313278907107","4.697252508060275","11.394709175857654","9.280287816118728","47.65586385702644","..."
"2017","0.861221662132112","26.119407274469435","23.336463060819383","4.878858583765065","11.570705074520085","9.244608658401797","47.32519874671151","..."
